2026-05-21T08:00:45.713+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3733.37 | STATUS=500 | MSG=injected_s3_failure name=psyduck
2026-05-21T08:09:11.379+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1563.81 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:09:43.890+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2287.12 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-21T08:10:13.307+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2872.01 | STATUS=200 | MSG=image_ok name=snorlax
2026-05-21T08:10:15.289+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2237.23 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:10:54.805+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2481.30 | STATUS=200 | MSG=image_ok name=squirtle
2026-05-21T08:10:56.187+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3375.11 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-21T08:11:08.962+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=5677.98 | STATUS=500 | MSG=injected_s3_failure name=bulbasaur
2026-05-21T08:11:10.269+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3577.02 | STATUS=200 | MSG=image_ok name=snorlax
2026-05-21T08:11:11.706+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3277.65 | STATUS=200 | MSG=image_ok name=mewtwo
2026-05-21T08:11:22.984+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3988.97 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-21T08:12:02.989+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3275.85 | STATUS=200 | MSG=image_ok name=charizard
2026-05-21T08:12:16.557+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2759.99 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:12:39.983+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3791.39 | STATUS=200 | MSG=image_ok name=mewtwo
2026-05-21T08:12:43.773+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2875.58 | STATUS=200 | MSG=image_ok name=psyduck
2026-05-21T08:13:11.517+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1556.72 | STATUS=200 | MSG=image_ok name=raichu
2026-05-21T08:13:50.103+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2643.07 | STATUS=200 | MSG=image_ok name=raichu
2026-05-21T08:14:18.292+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3464.08 | STATUS=200 | MSG=image_ok name=eevee
2026-05-21T08:14:28.822+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1991.78 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-21T08:14:48.588+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2461.08 | STATUS=200 | MSG=image_ok name=mewtwo
2026-05-21T08:15:28.581+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3265.18 | STATUS=200 | MSG=image_ok name=charizard
2026-05-21T08:16:40.888+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1505.40 | STATUS=200 | MSG=image_ok name=charizard
2026-05-21T08:17:04.469+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3708.96 | STATUS=200 | MSG=image_ok name=magikarp
2026-05-21T08:18:30.620+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1771.15 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-21T08:18:39.729+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2729.67 | STATUS=200 | MSG=image_ok name=charizard
2026-05-21T08:18:45.376+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2655.17 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-21T08:19:32.347+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1842.37 | STATUS=200 | MSG=image_ok name=gyarados
2026-05-21T08:20:07.041+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3981.31 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-21T08:20:37.638+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=4569.33 | STATUS=500 | MSG=injected_s3_failure name=pikachu
2026-05-21T08:21:12.098+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2678.16 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-21T08:21:31.670+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2835.48 | STATUS=200 | MSG=image_ok name=squirtle
2026-05-21T08:21:59.662+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3492.78 | STATUS=200 | MSG=image_ok name=charizard
2026-05-21T08:22:09.955+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2762.92 | STATUS=200 | MSG=image_ok name=pikachu
...
2026-05-27T19:36:56.300+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3131.31 | STATUS=200 | MSG=image_ok name=gyarados
2026-05-27T19:36:58.396+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3675.88 | STATUS=200 | MSG=image_ok name=gyarados
2026-05-27T19:37:02.486+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3889.33 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-27T19:37:07.207+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3902.46 | STATUS=200 | MSG=image_ok name=raichu
2026-05-27T19:37:17.123+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1987.06 | STATUS=200 | MSG=image_ok name=magikarp
2026-05-27T19:37:23.987+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2268.80 | STATUS=200 | MSG=image_ok name=gyarados
2026-05-27T19:37:42.457+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3664.78 | STATUS=200 | MSG=image_ok name=raichu
2026-05-27T19:37:51.568+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3106.26 | STATUS=500 | MSG=injected_s3_failure name=pikachu
2026-05-27T19:38:03.617+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1658.50 | STATUS=200 | MSG=image_ok name=raichu
2026-05-27T19:38:08.381+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3571.90 | STATUS=200 | MSG=image_ok name=mewtwo
2026-05-27T19:38:25.163+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=4968.56 | STATUS=500 | MSG=injected_s3_failure name=squirtle
2026-05-27T19:38:37.129+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2532.03 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-27T19:38:40.009+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1516.81 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-27T19:38:50.932+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2174.76 | STATUS=200 | MSG=image_ok name=eevee
2026-05-27T19:39:04.309+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2965.79 | STATUS=200 | MSG=image_ok name=gyarados
2026-05-27T19:40:06.403+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3327.58 | STATUS=200 | MSG=image_ok name=mewtwo
2026-05-27T19:40:19.474+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2286.59 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-27T19:40:53.555+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2172.61 | STATUS=200 | MSG=image_ok name=psyduck
2026-05-27T19:41:03.589+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1936.50 | STATUS=200 | MSG=image_ok name=snorlax
2026-05-27T19:41:14.331+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3937.21 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-27T19:41:29.215+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2511.22 | STATUS=200 | MSG=image_ok name=squirtle
2026-05-27T19:41:35.870+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3303.88 | STATUS=200 | MSG=image_ok name=magikarp
2026-05-27T19:42:45.810+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1776.17 | STATUS=200 | MSG=image_ok name=charizard
2026-05-27T19:43:15.404+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1572.67 | STATUS=200 | MSG=image_ok name=eevee
2026-05-27T19:43:38.570+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3859.84 | STATUS=200 | MSG=image_ok name=eevee
2026-05-27T19:45:08.935+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2446.23 | STATUS=200 | MSG=image_ok name=snorlax
2026-05-27T19:45:14.142+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1792.07 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-27T19:45:33.910+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3160.92 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-27T19:47:22.751+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1573.30 | STATUS=200 | MSG=image_ok name=psyduck
2026-05-27T19:48:03.053+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1929.84 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-27T19:48:30.700+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3980.57 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-27T19:48:46.405+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2114.30 | STATUS=200 | MSG=image_ok name=charizard
2026-05-27T19:49:08.464+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1840.30 | STATUS=200 | MSG=image_ok name=bulbasaur
2026-05-27T19:49:30.374+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=4393.13 | STATUS=500 | MSG=injected_s3_failure name=jigglypuff
2026-05-27T19:51:11.344+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3919.04 | STATUS=200 | MSG=image_ok name=psyduck
2026-05-27T19:51:26.896+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1751.68 | STATUS=200 | MSG=image_ok name=mewtwo
2026-05-27T19:51:40.689+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1698.87 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-27T19:52:13.300+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3529.41 | STATUS=200 | MSG=image_ok name=squirtle
2026-05-27T19:53:04.220+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3613.97 | STATUS=200 | MSG=image_ok name=squirtle
2026-05-27T19:53:43.124+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3769.15 | STATUS=200 | MSG=image_ok name=gyarados
2026-05-27T19:54:16.582+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2093.20 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-27T19:56:07.333+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3211.30 | STATUS=500 | MSG=injected_s3_failure name=psyduck
2026-05-27T19:56:13.677+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=3096.93 | STATUS=200 | MSG=image_ok name=charizard
2026-05-27T19:56:21.530+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3155.28 | STATUS=500 | MSG=injected_s3_failure name=jigglypuff
2026-05-27T19:57:30.056+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2366.88 | STATUS=200 | MSG=image_ok name=pikachu
2026-05-27T19:57:50.753+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=2012.62 | STATUS=200 | MSG=image_ok name=squirtle
2026-05-27T19:58:32.673+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3800.37 | STATUS=500 | MSG=injected_s3_failure name=pikachu
2026-05-27T19:59:11.553+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1676.15 | STATUS=200 | MSG=image_ok name=jigglypuff
2026-05-27T19:59:12.442+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=ERROR | LATENCY_MS=3079.14 | STATUS=500 | MSG=injected_s3_failure name=raichu
2026-05-27T19:59:29.856+00:00 | MODULE=POKE_IMAGES | API=/image/{name} | FUNC=get_image | LEVEL=INFO | LATENCY_MS=1879.80 | STATUS=200 | MSG=image_ok name=magikarp
